,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
13775,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/15/2000,Parts per billion,16.347826,30,1,28,Parts per million,0.024208,0.031,8,26,Parts per billion,1.391304,6,3,9,Parts per million,0.1125,0.2,11,2
13779,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/16/2000,Parts per billion,14.173913,22,3,21,Parts per million,0.02675,0.034,9,29,Parts per billion,0.521739,3,16,4,Parts per million,0.075,0.1,0,1
13783,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/17/2000,Parts per billion,22.695652,46,19,43,Parts per million,0.017917,0.022,0,19,Parts per billion,0.173913,2,21,3,Parts per million,0.1875,0.7,21,8
13787,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/18/2000,Parts per billion,19.913043,37,5,35,Parts per million,0.026708,0.037,10,31,Parts per billion,0.695652,5,5,7,Parts per million,0.291667,0.5,0,6
13791,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/19/2000,Parts per billion,26.652174,43,7,41,Parts per million,0.020083,0.033,11,28,Parts per billion,1.782609,12,10,17,Parts per million,0.508333,1,11,11
13795,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/20/2000,Parts per billion,39.26087,75,11,73,Parts per million,0.023958,0.044,12,37,Parts per billion,2.043478,13,11,19,Parts per million,0.775,1.5,11,17
13799,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/21/2000,Parts per billion,16.173913,25,0,24,Parts per million,0.033417,0.041,7,35,Parts per billion,0.391304,4,0,6,Parts per million,0.304167,0.4,0,5
13803,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/22/2000,Parts per billion,15.347826,36,23,34,Parts per million,0.030208,0.044,10,37,Parts per billion,0.130435,1,3,1,Parts per million,0.241667,0.3,0,3
13807,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/23/2000,Parts per billion,20.521739,38,0,36,Parts per million,0.02575,0.043,10,36,Parts per billion,0.565217,2,5,3,Parts per million,0.445833,0.7,3,8
13811,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/24/2000,Parts per billion,31.391304,52,10,49,Parts per million,0.024917,0.036,12,31,Parts per billion,1.913043,10,10,14,Parts per million,0.75,1.3,9,15
13815,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/25/2000,Parts per billion,35.782609,65,9,63,Parts per million,0.02725,0.049,11,42,Parts per billion,3.173913,20,10,29,Parts per million,0.583333,1,11,11
13819,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/26/2000,Parts per billion,35.782609,62,14,60,Parts per million,0.041208,0.065,9,67,Parts per billion,1.826087,11,14,16,Parts per million,0.545833,0.8,10,9
13823,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/27/2000,Parts per billion,18.086957,32,20,30,Parts per million,0.039375,0.044,11,37,Parts per billion,0.521739,3,21,4,Parts per million,0.075,0.2,0,2
13827,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/28/2000,Parts per billion,22.26087,42,22,40,Parts per million,0.027792,0.048,2,41,Parts per billion,0.478261,2,0,3,Parts per million,0.066667,0.2,23,2
13831,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/29/2000,Parts per billion,28.086957,49,21,46,Parts per million,0.027,0.052,11,44,Parts per billion,0.478261,3,22,4,Parts per million,0.266667,0.5,5,6
13835,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/30/2000,Parts per billion,29.130435,45,23,42,Parts per million,0.034,0.06,12,51,Parts per billion,2,16,11,23,Parts per million,0.1875,0.3,6,3
13839,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/1/2000,Parts per billion,30.347826,60,21,57,Parts per million,0.037542,0.051,13,43,Parts per billion,1.782609,9,12,13,Parts per million,0.2125,0.3,13,3
13843,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/2/2000,Parts per billion,26.956522,52,10,49,Parts per million,0.030625,0.054,11,46,Parts per billion,1.130435,8,10,11,Parts per million,0.208333,0.4,11,5
13847,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/3/2000,Parts per billion,24.086957,34,16,32,Parts per million,0.0385,0.055,22,47,Parts per billion,1.26087,4,12,6,Parts per million,0.241667,0.5,19,6
13851,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/4/2000,Parts per billion,17.782609,36,16,34,Parts per million,0.052333,0.06,17,51,Parts per billion,0.217391,1,13,1,Parts per million,0.195833,0.3,0,3
13855,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/5/2000,Parts per billion,23.521739,40,6,38,Parts per million,0.035292,0.05,8,42,Parts per billion,0.608696,2,6,3,Parts per million,0.283333,0.5,11,6
13859,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/6/2000,Parts per billion,20.130435,41,0,39,Parts per million,0.03325,0.045,9,38,Parts per billion,0.565217,2,7,3,Parts per million,0.175,0.2,0,2
13863,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/7/2000,Parts per billion,17.086957,35,9,33,Parts per million,0.027333,0.043,8,36,Parts per billion,1.913043,13,11,19,Parts per million,0.129167,0.2,9,2
13867,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/8/2000,Parts per billion,19.173913,28,13,26,Parts per million,0.011667,0.022,10,19,Parts per billion,1.347826,7,9,10,Parts per million,0.195833,0.4,11,5
13871,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/9/2000,Parts per billion,20.26087,36,10,34,Parts per million,0.023583,0.033,12,28,Parts per billion,2.565217,11,10,16,Parts per million,0.1125,0.3,13,3
13875,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/10/2000,Parts per billion,16.652174,29,7,27,Parts per million,0.029917,0.038,9,32,Parts per billion,0.869565,5,8,7,Parts per million,0.033333,0.1,7,1
13879,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/11/2000,Parts per billion,23.913043,45,22,42,Parts per million,0.021125,0.037,8,31,Parts per billion,0.26087,2,5,3,Parts per million,0.1625,0.5,10,6
13883,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/12/2000,Parts per billion,43.869565,60,21,57,Parts per million,0.017917,0.04,12,34,Parts per billion,1.826087,8,11,11,Parts per million,0.6,1.1,9,13
13887,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/13/2000,Parts per billion,28.521739,52,0,49,Parts per million,0.033333,0.052,11,44,Parts per billion,2.173913,17,11,24,Parts per million,0.258333,0.5,0,6
13891,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/14/2000,Parts per billion,18.565217,32,0,30,Parts per million,0.0305,0.045,10,38,Parts per billion,1.434783,10,11,14,Parts per million,0,0,0,0
13895,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/15/2000,Parts per billion,16.217391,45,7,42,Parts per million,0.024625,0.03,9,25,Parts per billion,0.869565,4,7,6,Parts per million,0.0875,0.3,8,3
13899,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/16/2000,Parts per billion,16.043478,35,6,33,Parts per million,0.03125,0.039,8,33,Parts per billion,0.391304,4,23,6,Parts per million,0.033333,0.1,6,1
13903,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/17/2000,Parts per billion,23.695652,42,21,40,Parts per million,0.023792,0.04,12,34,Parts per billion,1.956522,6,10,9,Parts per million,0.220833,0.5,18,6
13907,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/18/2000,Parts per billion,30.217391,58,9,55,Parts per million,0.028917,0.045,11,38,Parts per billion,2.26087,13,9,19,Parts per million,0.508333,0.7,10,8
13911,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/19/2000,Parts per billion,29.304348,50,13,47,Parts per million,0.033167,0.049,13,42,Parts per billion,2.173913,12,12,17,Parts per million,0.608333,0.9,11,10
13915,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/20/2000,Parts per billion,22.434783,39,11,37,Parts per million,0.041542,0.062,11,58,Parts per billion,3.130435,16,12,23,Parts per million,0.529167,0.8,12,9
13919,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/21/2000,Parts per billion,16.826087,35,11,33,Parts per million,0.041417,0.054,21,46,Parts per billion,3.521739,29,11,41,Parts per million,0.466667,0.8,14,9
13923,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/22/2000,Parts per billion,17,41,6,39,Parts per million,0.037958,0.044,18,37,Parts per billion,1.608696,18,7,26,Parts per million,0.529167,0.9,11,10
13927,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/23/2000,Parts per billion,17.478261,35,20,33,Parts per million,0.031583,0.038,0,32,Parts per billion,0.652174,5,21,7,Parts per million,0.591667,0.9,18,10
13931,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/24/2000,Parts per billion,19.73913,33,14,31,Parts per million,0.02325,0.029,0,25,Parts per billion,0.73913,3,15,4,Parts per million,0.695833,0.8,11,9
13935,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/25/2000,Parts per billion,26.391304,43,10,41,Parts per million,0.015583,0.024,15,20,Parts per billion,1.043478,5,7,7,Parts per million,0.9375,1.3,11,15
13939,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/26/2000,Parts per billion,25.043478,40,22,38,Parts per million,0.0205,0.037,9,31,Parts per billion,1.608696,5,9,7,Parts per million,0.854167,1,10,11
13943,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/27/2000,Parts per billion,31.391304,52,8,49,Parts per million,0.03,0.066,12,71,Parts per billion,4.652174,14,12,20,Parts per million,1.1875,1.5,11,17
13947,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/28/2000,Parts per billion,29.217391,72,10,70,Parts per million,0.044208,0.081,11,114,Parts per billion,5.217391,28,10,40,Parts per million,0.979167,1.3,10,15
13951,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/29/2000,Parts per billion,16.347826,28,7,26,Parts per million,0.049125,0.058,10,49,Parts per billion,2.26087,7,9,10,Parts per million,0.783333,0.9,10,10
13955,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/30/2000,Parts per billion,17.217391,35,13,33,Parts per million,0.037625,0.049,0,42,Parts per billion,1.347826,5,21,7,Parts per million,0.8125,1,16,11
13959,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/31/2000,Parts per billion,17.304348,37,15,35,Parts per million,0.039417,0.045,13,38,Parts per billion,1.217391,5,5,7,Parts per million,0.7375,1,16,11
13963,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/1/2000,Parts per billion,23.173913,51,14,48,Parts per million,0.039708,0.044,10,37,Parts per billion,1.73913,7,14,10,Parts per million,0.875,1.1,18,13
13967,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/2/2000,Parts per billion,19.217391,35,11,33,Parts per million,0.047042,0.057,12,48,Parts per billion,1.695652,9,9,13,Parts per million,0.841667,1,12,11
13971,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/3/2000,Parts per billion,22.782609,46,10,43,Parts per million,0.045083,0.068,11,77,Parts per billion,3.652174,19,10,27,Parts per million,0.895833,1.1,11,13
13975,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/4/2000,Parts per billion,21.782609,40,11,38,Parts per million,0.037958,0.058,9,49,Parts per billion,2.347826,14,11,20,Parts per million,0.929167,1.2,9,14
13979,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/5/2000,Parts per billion,22.086957,29,5,27,Parts per million,0.023292,0.033,12,28,Parts per billion,2.217391,7,9,10,Parts per million,0.841667,0.9,7,10
13983,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/6/2000,Parts per billion,26.956522,37,8,35,Parts per million,0.026958,0.047,11,40,Parts per billion,2.608696,10,11,14,Parts per million,0.95,1.1,9,13
13987,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/7/2000,Parts per billion,21.347826,35,9,33,Parts per million,0.022042,0.037,11,31,Parts per billion,4.521739,13,9,19,Parts per million,0.641667,0.8,0,9
13991,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/8/2000,Parts per billion,15.217391,23,5,22,Parts per million,0.017,0.026,11,22,Parts per billion,1.217391,5,5,7,Parts per million,0.416667,0.6,11,7
13995,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/9/2000,Parts per billion,21.695652,39,22,37,Parts per million,0.023917,0.04,12,34,Parts per billion,1.434783,5,13,7,Parts per million,0.4625,0.6,10,7
13999,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/10/2000,Parts per billion,15.521739,35,0,33,Parts per million,0.032958,0.045,11,38,Parts per billion,1.391304,5,12,7,Parts per million,0.420833,0.5,0,6
14003,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/11/2000,Parts per billion,16.782609,30,23,28,Parts per million,0.035583,0.052,9,44,Parts per billion,1.652174,7,12,10,Parts per million,0.283333,0.3,0,3
14007,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/12/2000,Parts per billion,27.434783,44,10,42,Parts per million,0.025542,0.039,11,33,Parts per billion,3.26087,10,10,14,Parts per million,0.358333,0.6,13,7
14011,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/13/2000,Parts per billion,16.652174,33,0,31,Parts per million,0.027042,0.032,7,27,Parts per billion,1,5,15,7,Parts per million,0.145833,0.3,0,3
14015,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/14/2000,Parts per billion,15.130435,26,7,25,Parts per million,0.026833,0.031,8,26,Parts per billion,0.434783,3,5,4,Parts per million,0.066667,0.1,7,1
14019,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/15/2000,Parts per billion,19.782609,38,8,36,Parts per million,0.024542,0.036,12,31,Parts per billion,3.956522,18,9,26,Parts per million,0.095833,0.3,11,3
14023,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/16/2000,Parts per billion,16.217391,29,15,27,Parts per million,0.029833,0.04,21,34,Parts per billion,1.130435,3,5,4,Parts per million,0.058333,0.1,9,1
14027,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/17/2000,Parts per billion,10.173913,14,9,13,Parts per million,0.031917,0.037,0,31,Parts per billion,0.73913,3,13,4,Parts per million,0,0,0,0
14031,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/18/2000,Parts per billion,10.826087,19,20,18,Parts per million,0.024083,0.03,11,25,Parts per billion,0.826087,4,11,6,Parts per million,0,0,0,0
14035,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/19/2000,Parts per billion,16.043478,26,9,25,Parts per million,0.02275,0.029,11,25,Parts per billion,1.391304,5,11,7,Parts per million,0.029167,0.1,11,1
14039,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/20/2000,Parts per billion,16.782609,36,9,34,Parts per million,0.030125,0.042,11,36,Parts per billion,1.130435,8,10,11,Parts per million,0.391667,0.8,14,9
14043,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/21/2000,Parts per billion,15.304348,28,7,26,Parts per million,0.033917,0.048,9,41,Parts per billion,0.608696,2,6,3,Parts per million,0.554167,0.7,10,8
14047,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/22/2000,Parts per billion,18.956522,27,5,25,Parts per million,0.027458,0.034,9,29,Parts per billion,1.347826,5,5,7,Parts per million,0.633333,0.7,9,8
14051,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/23/2000,Parts per billion,12.782609,19,15,18,Parts per million,0.030625,0.035,21,30,Parts per billion,0.521739,2,15,3,Parts per million,0.579167,0.7,14,8
14055,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/24/2000,Parts per billion,13.217391,27,10,25,Parts per million,0.032625,0.041,11,35,Parts per billion,1.521739,8,11,11,Parts per million,0.529167,0.7,14,8
14059,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/25/2000,Parts per billion,15.608696,26,15,25,Parts per million,0.035292,0.054,11,46,Parts per billion,1.913043,6,7,9,Parts per million,0.570833,0.7,15,8
14063,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/26/2000,Parts per billion,26.130435,50,10,47,Parts per million,0.020625,0.036,11,31,Parts per billion,3.130435,10,10,14,Parts per million,0.895833,1.3,11,15
14067,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/27/2000,Parts per billion,24.782609,42,13,40,Parts per million,0.022458,0.031,14,26,Parts per billion,4.086957,10,13,14,Parts per million,0.566667,0.7,0,8
14071,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/28/2000,Parts per billion,21.173913,31,14,29,Parts per million,0.0295,0.038,19,32,Parts per billion,2.173913,6,12,9,Parts per million,0.275,0.4,15,5
14075,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/29/2000,Parts per billion,17.695652,31,10,29,Parts per million,0.031583,0.043,12,36,Parts per billion,2,11,10,16,Parts per million,0.225,0.4,12,5
14079,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,6/30/2000,Parts per billion,18.173913,37,9,35,Parts per million,0.031875,0.038,12,32,Parts per billion,1.956522,7,10,10,Parts per million,0.141667,0.3,13,3
14083,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,7/1/2000,Parts per billion,13.652174,21,13,20,Parts per million,0.039708,0.049,15,42,Parts per billion,2.043478,8,13,11,Parts per million,0.104167,0.2,15,2
14087,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,7/2/2000,Parts per billion,13.695652,25,22,24,Parts per million,0.033125,0.048,10,41,Parts per billion,2.086957,6,13,9,Parts per million,0.054167,0.1,0,1
14091,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,7/3/2000,Parts per billion,16,25,6,24,Parts per million,0.023208,0.033,9,28,Parts per billion,2.73913,7,6,10,Parts per million,0.058333,0.2,14,2
