,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21425,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/11/2008,Parts per billion,9.130435,15,10,14,Parts per million,0.045125,0.054,11,46,Parts per billion,1.913043,3,11,4,Parts per million,0.3,0.3,0,3
21429,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/12/2008,Parts per billion,16.73913,35,6,33,Parts per million,0.035583,0.039,8,33,Parts per billion,2.565217,7,6,10,Parts per million,0.308333,0.4,11,5
21433,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/13/2008,Parts per billion,12.826087,33,9,31,Parts per million,0.040333,0.053,11,45,Parts per billion,2.347826,6,9,9,Parts per million,0.316667,0.4,10,5
21437,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/14/2008,Parts per billion,21.086957,34,22,32,Parts per million,0.032083,0.054,10,46,Parts per billion,8.086957,65,16,87,Parts per million,0.408333,0.5,8,6
21441,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/15/2008,Parts per billion,33.695652,63,10,61,Parts per million,0.028458,0.053,11,45,Parts per billion,5.956522,14,10,20,Parts per million,0.575,0.8,10,9
21445,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/16/2008,Parts per billion,19.26087,49,10,46,Parts per million,0.036958,0.055,12,47,Parts per billion,3.391304,9,21,13,Parts per million,0.4,0.5,10,6
21449,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/17/2008,Parts per billion,17.173913,28,2,26,Parts per million,0.0445,0.064,10,64,Parts per billion,3.521739,5,0,7,Parts per million,0.429167,0.5,2,6
21453,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/18/2008,Parts per billion,16.913043,28,21,26,Parts per million,0.044042,0.062,9,58,Parts per billion,3.956522,11,17,16,Parts per million,0.375,0.4,0,5
21457,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/19/2008,Parts per billion,19.347826,33,6,31,Parts per million,0.025875,0.041,11,35,Parts per billion,4.173913,6,15,9,Parts per million,0.4125,0.5,7,6
21461,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/20/2008,Parts per billion,13.521739,20,8,19,Parts per million,0.027125,0.034,10,29,Parts per billion,2.173913,3,0,4,Parts per million,0.304167,0.4,0,5
21465,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/21/2008,Parts per billion,14.73913,35,21,33,Parts per million,0.031083,0.044,10,37,Parts per billion,2.130435,5,8,7,Parts per million,0.279167,0.3,0,3
21469,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/22/2008,Parts per billion,13.086957,27,6,25,Parts per million,0.036417,0.045,21,38,Parts per billion,2.26087,6,6,9,Parts per million,0.295833,0.3,0,3
21473,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,5/23/2008,Parts per billion,12.826087,24,14,23,Parts per million,0.031,0.042,0,36,Parts per billion,1.695652,4,15,6,Parts per million,0.266667,0.3,8,3
